class	property	type	description
HowTo	yield	Text	The quantity that results by performing instructions. For example, a paper airplane, 10 personalized candles.
HowTo	yield	QuantitativeValue	The quantity that results by performing instructions. For example, a paper airplane, 10 personalized candles.
BusinessAudience	yearsInOperation	QuantitativeValue	The age of the business.
BusinessAudience	yearlyRevenue	QuantitativeValue	The size of the business in annual revenue.
Rating	worstRating	Text	The lowest value allowed in this rating system. If worstRating is omitted, 1 is assumed.
Rating	worstRating	Number	The lowest value allowed in this rating system. If worstRating is omitted, 1 is assumed.
Person	worksFor	Organization	Organizations that the person works for.
ScreeningEvent	workPresented	Movie	The movie presented during this event.
Event	workPerformed	CreativeWork	A work performed in some event, for example a play performed in a TheaterEvent.
Person	workLocation	Place	A contact location for a person's place of work.
Person	workLocation	ContactPoint	A contact location for a person's place of work.
JobPosting	workHours	Text	The typical working hours for this job (e.g. 1st shift, night shift, 8am-5pm).
Event	workFeatured	CreativeWork	"A work featured in some event, e.g. exhibited in an ExhibitionEvent.
       Specific subproperties are available for workPerformed (e.g. a play), or a workPresented (a Movie at a ScreeningEvent)."
CreativeWork	workExample	CreativeWork	Example/instance/realization/derivation of the concept of this creative work. eg. The paperback edition, first edition, or eBook.
Article	wordCount	Integer	The number of words in the text of the Article.
LoseAction	winner	Person	A sub property of participant. The winner of the action.
VisualArtwork	width	QuantitativeValue	The width of the item.
VisualArtwork	width	Distance	The width of the item.
Product	width	QuantitativeValue	The width of the item.
Product	width	Distance	The width of the item.
MediaObject	width	QuantitativeValue	The width of the item.
MediaObject	width	Distance	The width of the item.
Product	weight	QuantitativeValue	The weight of the product or person.
Person	weight	QuantitativeValue	The weight of the product or person.
Flight	webCheckinTime	DateTime	The time when a passenger can check into the flight online.
WarrantyPromise	warrantyScope	WarrantyScope	The scope of the warranty promise.
SellAction	warrantyPromise	WarrantyPromise	The warranty promise(s) included in the offer.
BuyAction	warrantyPromise	WarrantyPromise	The warranty promise(s) included in the offer.
Offer	warranty	WarrantyPromise	The warranty promise(s) included in the offer.
Demand	warranty	WarrantyPromise	The warranty promise(s) included in the offer.
PublicationVolume	volumeNumber	Text	"Identifies the volume of publication or multi-part work; for example, ""iii"" or ""2""."
PublicationVolume	volumeNumber	Integer	"Identifies the volume of publication or multi-part work; for example, ""iii"" or ""2""."
VideoObject	videoQuality	Text	The quality of the video.
VideoObject	videoFrameSize	Text	The frame size of the video.
ScreeningEvent	videoFormat	Text	The type of screening or video broadcast used (e.g. IMAX, 3D, SD, HD, etc.).
BroadcastService	videoFormat	Text	The type of screening or video broadcast used (e.g. IMAX, 3D, SD, HD, etc.).
BroadcastEvent	videoFormat	Text	The type of screening or video broadcast used (e.g. IMAX, 3D, SD, HD, etc.).
CreativeWork	video	VideoObject	An embedded video object.
CreativeWork	version	Text	The version of the CreativeWork embodied by a specified resource.
CreativeWork	version	Number	The version of the CreativeWork embodied by a specified resource.
BuyAction	vendor	Person	'vendor' is an earlier term for 'seller'.
BuyAction	vendor	Organization	'vendor' is an earlier term for 'seller'.
Vehicle	vehicleTransmission	URL	"The type of component used for transmitting the power from a rotating power source to the wheels or other relevant component(s) (""gearbox"" for cars)."
Vehicle	vehicleTransmission	Text	"The type of component used for transmitting the power from a rotating power source to the wheels or other relevant component(s) (""gearbox"" for cars)."
Vehicle	vehicleTransmission	QualitativeValue	"The type of component used for transmitting the power from a rotating power source to the wheels or other relevant component(s) (""gearbox"" for cars)."
Vehicle	vehicleSpecialUsage	Text	Indicates whether the vehicle has been used for special purposes, like commercial rental, driving school, or as a taxi. The legislation in many countries requires this information to be revealed when offering a car for sale.
Vehicle	vehicleSeatingCapacity	QuantitativeValue	The number of passengers that can be seated in the vehicle, both in terms of the physical space available, and in terms of limitations set by law.\n\nTypical unit code(s): C62 for persons.
Vehicle	vehicleSeatingCapacity	Number	The number of passengers that can be seated in the vehicle, both in terms of the physical space available, and in terms of limitations set by law.\n\nTypical unit code(s): C62 for persons.
Vehicle	vehicleModelDate	Date	The release date of a vehicle model (often used to differentiate versions of the same make and model).
Vehicle	vehicleInteriorType	Text	The type or material of the interior of the vehicle (e.g. synthetic fabric, leather, wood, etc.). While most interior types are characterized by the material used, an interior type can also be based on vehicle usage or target audience.
Vehicle	vehicleInteriorColor	Text	The color or color combination of the interior of the vehicle.
Vehicle	vehicleIdentificationNumber	Text	The Vehicle Identification Number (VIN) is a unique serial number used by the automotive industry to identify individual motor vehicles.
Vehicle	vehicleEngine	EngineSpecification	Information about the engine or engines of the vehicle.
Vehicle	vehicleConfiguration	Text	A short text indicating the configuration of the vehicle, e.g. '5dr hatchback ST 2.5 MT 225 hp' or 'limited edition'.
Person	vatID	Text	The Value-added Tax ID of the organization or person.
Organization	vatID	Text	The Value-added Tax ID of the organization or person.
PropertyValueSpecification	valueRequired	Boolean	Whether the property must be filled in to complete the action.  Default is false.
QuantitativeValue	valueReference	StructuredValue	A pointer to a secondary value that provides additional information on the original value, e.g. a reference temperature.
QuantitativeValue	valueReference	QuantitativeValue	A pointer to a secondary value that provides additional information on the original value, e.g. a reference temperature.
QuantitativeValue	valueReference	QualitativeValue	A pointer to a secondary value that provides additional information on the original value, e.g. a reference temperature.
QuantitativeValue	valueReference	PropertyValue	A pointer to a secondary value that provides additional information on the original value, e.g. a reference temperature.
QuantitativeValue	valueReference	Enumeration	A pointer to a secondary value that provides additional information on the original value, e.g. a reference temperature.
QualitativeValue	valueReference	StructuredValue	A pointer to a secondary value that provides additional information on the original value, e.g. a reference temperature.
QualitativeValue	valueReference	QuantitativeValue	A pointer to a secondary value that provides additional information on the original value, e.g. a reference temperature.
QualitativeValue	valueReference	QualitativeValue	A pointer to a secondary value that provides additional information on the original value, e.g. a reference temperature.
QualitativeValue	valueReference	PropertyValue	A pointer to a secondary value that provides additional information on the original value, e.g. a reference temperature.
QualitativeValue	valueReference	Enumeration	A pointer to a secondary value that provides additional information on the original value, e.g. a reference temperature.
PropertyValue	valueReference	StructuredValue	A pointer to a secondary value that provides additional information on the original value, e.g. a reference temperature.
PropertyValue	valueReference	QuantitativeValue	A pointer to a secondary value that provides additional information on the original value, e.g. a reference temperature.
PropertyValue	valueReference	QualitativeValue	A pointer to a secondary value that provides additional information on the original value, e.g. a reference temperature.
PropertyValue	valueReference	PropertyValue	A pointer to a secondary value that provides additional information on the original value, e.g. a reference temperature.
PropertyValue	valueReference	Enumeration	A pointer to a secondary value that provides additional information on the original value, e.g. a reference temperature.
PropertyValueSpecification	valuePattern	Text	Specifies a regular expression for testing literal values according to the HTML spec.
PropertyValueSpecification	valueName	Text	Indicates the name of the PropertyValueSpecification to be used in URL templates and form encoding in a manner analogous to HTML's input@name.
PropertyValueSpecification	valueMinLength	Number	Specifies the minimum allowed range for number of characters in a literal value.
PropertyValueSpecification	valueMaxLength	Number	Specifies the allowed range for number of characters in a literal value.
PriceSpecification	valueAddedTaxIncluded	Boolean	Specifies whether the applicable value-added tax (VAT) is included in the price specification or not.
